iter	Passed	Remaining
0	2	229
1	4	221
2	6	207
3	7	188
4	9	182
5	11	185
6	14	186
7	16	184
8	17	179
9	19	174
10	20	169
11	22	166
12	24	166
13	27	167
14	29	165
15	30	160
16	31	155
17	33	150
18	34	146
19	35	142
20	36	138
21	38	137
22	40	135
23	42	133
24	43	131
25	45	128
26	46	126
27	48	125
28	50	123
29	52	121
30	53	120
31	56	119
32	58	118
33	59	116
34	61	114
35	62	111
36	64	109
37	66	107
38	67	105
39	69	103
40	70	102
41	71	98
42	73	96
43	74	95
44	76	93
45	78	92
46	80	90
47	82	89
48	83	87
49	86	86
50	87	84
51	94	86
52	96	85
53	98	83
54	99	81
55	101	79
56	102	77
57	104	75
58	106	74
59	108	72
60	111	71
61	113	69
62	114	67
63	116	65
64	118	63
65	120	61
66	121	59
67	123	57
68	126	56
69	128	55
70	130	53
71	131	51
72	133	49
73	135	47
74	137	45
75	140	44
76	142	42
77	145	40
78	147	39
79	149	37
80	153	36
81	156	34
82	158	32
83	160	30
84	161	28
85	163	26
86	168	25
87	169	23
88	171	21
89	173	19
90	174	17
91	176	15
92	178	13
93	179	11
94	181	9
95	183	7
96	185	5
97	187	3
98	188	1
99	190	0
